C_per,Si_per,Mn_per,P_per,S_per,Cu_per,Mg_per,Hardness_BHN,Nodularity_per,Pearlite_per,Ferrite_per,Nodule_Count,Sand_AFS_Fresh,Sand_AFS_Returned,Clay_Fresh,Clay_Returned,FRS,KOS,PH_Fresh_Sand,PH_Returned_Sand ,Sand_temp,RT_Hum,Hum_per,Stripping,Viscosity,Baume ,Remarks
3.389,2.513,0.396,0.014,0.008,0.64,0.05,226,83.45,73.08,26.92,274,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,29,35,55,1
3.389,2.513,0.396,0.014,0.008,0.64,0.05,226,83.45,73.08,26.92,274,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,29,35,55,1
3.389,2.513,0.396,0.014,0.008,0.64,0.05,226,83.45,73.08,26.92,274,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,29,35,55,1
3.105,2.198,0.416,0.057,0.0412,0.325,0.051,162,81.14,12.11,87.89,302,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,28,35,55,0
3.583,2.391,0.273,0.014,0.01,0.081,0.051,162,81.14,12.11,87.89,302,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,28,35,55,0
3.583,2.391,0.273,0.014,0.01,0.081,0.051,162,81.14,12.11,87.89,302,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,28,35,55,1
3.583,2.391,0.273,0.014,0.01,0.081,0.051,162,81.14,12.11,87.89,302,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,28,35,55,1
3.583,2.391,0.273,0.014,0.01,0.081,0.051,162,81.14,12.11,87.89,302,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,28,35,55,1
3.583,2.391,0.273,0.014,0.01,0.081,0.051,162,81.14,12.11,87.89,302,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,28,35,55,1
3.142,2.744,0.587,0.087,0.032,0.879,0.04,271,83.98,77.35,22.66,349,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,27,35,55,0
3.515,2.658,0.442,0.01,0.009,0.614,0.04,228,83.98,77.35,22.66,349,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,27,35,55,0
3.515,2.658,0.442,0.01,0.009,0.614,0.04,228,83.98,77.35,22.66,349,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,27,35,55,1
3.515,2.658,0.442,0.01,0.009,0.614,0.04,228,83.98,77.35,22.66,349,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,27,35,55,1
3.515,2.658,0.442,0.01,0.009,0.614,0.04,228,83.98,77.35,22.66,349,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,27,35,55,1
3.515,2.658,0.442,0.01,0.009,0.614,0.04,228,83.98,77.35,22.66,349,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,27,35,55,1
3.809,2.861,0.415,0.056,0.032,0.712,0.052,157,74.23,65.45,34.54,150,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,26,35,55,0
3.444,2.397,0.4,0.011,0.008,0.313,0.05,204,83.27,65.45,34.54,391,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,26,35,55,0
3.444,2.397,0.4,0.011,0.008,0.313,0.05,204,83.27,65.45,34.54,391,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,26,35,55,1
3.444,2.397,0.4,0.011,0.008,0.313,0.05,204,83.27,65.45,34.54,391,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,26,35,55,1
3.444,2.397,0.4,0.011,0.008,0.313,0.05,204,83.27,65.45,34.54,391,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,26,35,55,1
3.444,2.397,0.4,0.011,0.008,0.313,0.05,204,83.27,65.45,34.54,391,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,26,35,55,1
